,Name,Category,Open_for_UG,Open_for_PG,CTC_UG,CTC_PG,CGPA_Requirement,Total_vacancies,Sector,Name_of_post
0,Visa Inc. (PPO),A,['Computer Science and Engineering'],NA,17.99 Lacs INR,-,-,-,IT,-
1,D.E. Shaw India Software Private Limited (PPO),A,['Computer Science and Engineering'],NA,29.0 Lacs INR,-,-,-,IT,-
2,Citicorp Services India Pvt. Ltd. (PPO),A,"['Electronics & Communication Engineering', 'Mechanical Engineering']",NA,13.5 Lacs INR,-,-,-,Finance,-
3,Fuzzy Logix (PPO),A,"['Electrical Engineering', 'Mechanical Engineering']",NA,-,-,-,-,Consultancy,-
4,Texas Instruments (PPO),A,"['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering']",['Computer Science & Engineering'],16.0 Lacs INR,17.4 Lacs INR,-,-,Core Engineering,-
5,Itron (PPO),A,['Electronics & Communication Engineering'],NA,8.5 Lacs INR,-,-,-,IT,-
6,"Samsung R & D, Bangalore (PPO)",A,"['Computer Science and Engineering', 'Electrical Engineering']",NA,22.0 Thousands INR,-,-,-,R&D,-
7,Microsoft (PPO),A,['Computer Science and Engineering'],NA,-,-,-,-,IT,-
8,Qualcomm India Private Limited (PPO),A,['Engineering Physics'],NA,14.3 Lacs INR,-,-,-,Core Engineering,-
9,Wipro Limited (PPO),A,"['Electrical Engineering', 'Electronics & Communication Engineering', 'Production and Industrial Engineering']",NA,9.0 Lacs INR,-,-,-,Core Engineering,-
10,TATA Steel Ltd. (PPO),A,"['Electrical Engineering', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Production and Industrial Engineering']",NA,8.33 Lacs INR,-,-,-,IT,-
11,Adobe Systems (PPO),A,"['Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",NA,-,-,-,-,Core Engineering,-
12,Capital One Services (India) Pvt. Ltd. (PPO),A,['Electrical Engineering'],NA,15.57 Lacs INR,-,-,-,R&D,-
13,Accenture Services Pvt. Ltd. (PPO),A,['Applied Mathematics'],NA,-,-,-,-,Finance,-
14,Amazon Development Centre (India) Pvt. Ltd. (PPO),A,"['Computer Science and Engineering', 'Electronics & Communication Engineering']",NA,-,-,-,-,IT,-
15,Schlumberger Asia Services Ltd. (PPO),A,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'Chemical Engineering', 'Production and Industrial Engineering']",NA,-,-,-,-,IT,-
16,ITC Ltd. (PPO),A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'Chemical Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']",NA,-,-,-,-,Oil & Gas,-
17,"Infosys Ltd.,",A,"['Applied Mathematics', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Computer Science & Engineering', 'Information Technology']",17.0 Lacs INR,-,-,-,FMCG,-
18,Works Applications Co Ltd,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",-,-,-,-,IT,-
19,SRF LTD,A,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'Chemical Engineering']",['Computer Aided Process Plant Design'],8.0 Lacs INR,6.5 Lacs INR,8,-,IT,R&D Engineer in Software Development.
20,Vodafone India Ltd. (PPO),A,['Computer Science and Engineering'],NA,-,-,-,-,Core Engineering,Design Trainee/Senior Executive
21,Sjain Ventures Limited (PPO),B,"['Electrical Engineering', 'Electronics & Communication Engineering', 'Mechanical Engineering', 'Metallurgy Dual']",NA,-,-,-,-,IT,-
22,UnitedHealth Group,A,"['Applied Mathematics', 'Biotechnology', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",NA,11.98 Lacs INR,-,7,-,IT,-
23,Test Company,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",10.0 Lacs INR,-,-,-,IT,Software Engineer
24,Fuzzy Logix,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",['Management and Business Administration'],12.0 Lacs INR,12.0 Lacs INR,-,-,IT,-
25,American Express India (PPO),A,"['Applied Mathematics', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)']",NA,-,-,-,-,IT,Associate Data Scientist
26,Ford,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'Electrical Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']",NA,11.0 Lacs INR,11.0 Lacs INR,-,-,Finance,-
27,Goldman Sachs (PPO),A,"['Computer Science and Engineering', 'Electrical Engineering']",NA,-,-,-,-,Core Engineering,Ford College Graduate
28,Walmart Labs,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Master of Computer Application', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",21.077 Lacs INR,21.776 Lacs INR,7,-,Finance,-
29,Hyundai Motor India,B,NA,"['CAD,CAM & Robotics', 'Machine Design Engineering', 'Production & Industrial Systems Engineering', 'Thermal Engineering', 'Welding Engineering']",-,6.5 Lacs INR,-,-,IT,-
30,Innoplexus: Application Development Engineer,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,8.0 Lacs INR,-,-,-,Core Engineering,PGET
31,Innoplexus: Associate Consultant,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,15.0 Lacs INR,-,-,-,IT,Application Development Engineer
32,Innoplexus: Associate Data Scientist,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Production and Industrial Engineering']",NA,15.0 Lacs INR,-,-,-,IT,Associate Data Engineer
33,Innoplexus: Junior Research Analyst,A,['Biotechnology'],NA,15.0 Lacs INR,-,-,-,IT,Associate Data Scientist
34,Innoplexus: Software Engineer,A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",NA,15.0 Lacs INR,-,-,-,IT,Junior Research Analyst
35,Exicom,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Control & Guidance', 'Electric Drives and Power Electronics', 'Instrumentation and Signal Processing', 'Micro Electronic and VLSI', 'Power System Engineering', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology', 'System and Control', 'System Modelling and Control']",8.0 Lacs INR,8.0 Lacs INR,-,3,IT,Software Developer
36,Societe General Solutions Software Engineer,A,"['Applied Mathematics', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",NA,17.5 Lacs INR,-,-,-,Core Engineering,Engineer
37,Google India Workshop,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",-,-,-,-,IT,Senior Software Engineer
38,EXL Service Pvt. Ltd.,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,11.2 Lacs INR,11.2 Thousands INR,-,-,IT,-
39,PayPal India Pvt Ltd,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Architecture and Planning', 'Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",26.05 Lacs INR,-,-,-,IT,Consultant I
40,Goldman Sachs,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",30.0 Lacs INR,30.0 Lacs INR,-,-,IT,Software Engineer
41,IBM (PPO),A,NA,['Computer Science & Engineering'],-,-,-,-,IT,-
42,Edelweiss,A,"['Applied Mathematics', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,11.5 Lacs INR,-,6.5,-,Finance,Analyst
