,Name,Category,Open_for_UG,Open_for_PG,CTC_UG,CTC_PG,CGPA_Requirement,Total_vacancies,Sector,Name_of_post
177,Shapoorji Pallonji (Architect),B,['Architecture and Planning'],NA,6.5 Lacs INR,-,-,-,IT,-
178,IXIGO,A,"['Architecture and Planning', 'Biotechnology', 'Chemical Engineering', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",['Computer Science & Engineering'],12.0 Lacs INR,-,-,-,IT,Software Developer
179,DirectI,A,"['Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",['Computer Science & Engineering'],26.98 Lacs INR,-,-,-,IT,Software Engineer
180,Smartprix Web Private Ltd.,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Computer Science & Engineering', 'Information Technology']",22.0 Lacs INR,22.0 Lacs INR,-,-,Core Engineering,R&D Engineer
181,Cisco Networks,A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Computer Science & Engineering', 'Information Technology']",14.73 Lacs INR,15.96 Lacs INR,-,-,IT,Software Engineer
182,Synopsys India Pvt Ltd,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Control & Guidance', 'Electric Drives and Power Electronics', 'Instrumentation and Signal Processing', 'Micro Electronic and VLSI', 'Power System Engineering', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology', 'Solid State Electronic Materials', 'System and Control', 'System Modelling and Control']",12.78 Lacs INR,-,-,-,Core Engineering,Engineer
183,Ruptub Solutions Pvt limited ( Treebo Hotels)- Software Profile,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,14.0 Lacs INR,14.0 Lacs INR,-,-,R&D,-
184,Microsoft Redmond,A,['Computer Science and Engineering'],NA,136.0 Thousands USD,-,-,-,R&D,Research Engineer
185,C-Dot,A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'Computer Science and Engineering']",['Computer Science & Engineering'],10.25 Lacs INR,10.52 Lacs INR,-,-,IT,Software Developer
186,Alethe Labs (Non-Circuits),A,"['B. Tech. (Process Engineering) and M.B.A.', 'Biotechnology', 'Chemical Engineering', 'Civil Engineering', 'Engineering Physics', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",NA,7.5 Lacs INR,7.5 Lacs INR,-,-,IT,-
