,Name,Sector,Name_of_post,Place of posting,Actual Post,Category,Open_for_UG,Open_for_PG,CTC_PG,CGPA_Requirement,Total_vacancies,PPO or not ,Applied Mathematics,Computer Science,electronic,electrical ,Mechanical,Chemical,Architecture and planning,Process,Biotechnology,Chemistry,Civil ,Geological,Geophysical ,Metallurgical,Physics,Polymer Science,Production and Industrial ,Pulp & Paper,Unnamed: 28,number_of_people,CTC_UG,CTC Remark,CGPA Requirement
333,SV College of Engineering,Academics,Assistant Professor,,Academics,U,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'Civil Engineering with specialisation in Structures']","['CAD,CAM & Robotics', 'Communication Systems', 'Computer Science & Engineering', 'Electric Drives and Power Electronics', 'Information Technology', 'Machine Design Engineering', 'Micro Electronic and VLSI', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'RF and Microwave Engineering', 'Solid State Electronic Materials', 'Thermal Engineering', 'Thermal Systems Engineering']",3.5 Lacs INR,-,-,placement,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,,-,,
334,Ajay Kumar Garg Engineering College,,,,Academics,U,,"['Alternate Hydro Energy Systems', 'CAD,CAM & Robotics', 'Environmental Management of Rivers and Lakes', 'Industrial Metallurgy', 'Machine Design Engineering', 'Materials Engineering', 'Production & Industrial Systems Engineering', 'Thermal Engineering', 'Welding Engineering']",4.8 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.2 Lacs INR,,
335,STMicroelectronics Pvt. Ltd,Core Engineering,-,,Core,A,['Electronics & Communication Engineering'],"['Communication Systems', 'Micro Electronic and VLSI', 'RF and Microwave Engineering', 'Solid State Electronic Materials', 'System Modelling and Control']",10.2 Lacs INR,7.5,-,placement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9.98 Lacs INR,,
336,Dolcera ITES Pvt Ltd,Core Engineering,-,,Core,B,['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)'],['Communication Systems'],6.0 Lacs INR,-,-,placement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,6.0 Lacs INR,,
337,CloudXLab.com,IT,Software Engineer,,Software,B,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Communication Systems', 'Computer Science & Engineering', 'Electric Drives and Power Electronics', 'Instrumentation and Signal Processing', 'Micro Electronic and VLSI', 'Power System Engineering', 'RF and Microwave Engineering', 'System and Control', 'System Modelling and Control']",5.0 Lacs INR,-,-,placement,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,17,,5.0 Lacs INR,,
338,Thermo Fisher,Pharmaceuticals,Management Trainee,,Core,B,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Physics']","['Biotechnology', 'Chemistry', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Physics']",5.0 Lacs INR,-,-,placement,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,5,,5.0 Lacs INR,,
339,General Electric-(P.G),Core Engineering,Edison Engineer,,Core,A,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)']","['Biotechnology', 'CAD,CAM & Robotics', 'Computer Aided Process Plant Design', 'Industrial Pollution Abatement', 'Machine Design Engineering', 'Production & Industrial Systems Engineering', 'System and Control', 'System Modelling and Control']",8.5 Thousands INR,-,-,placement,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,,-,,
340,Doubtnut,,,,Software,B,"['Applied Mathematics', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'B.Tech. (Mechanical Engineering) and M.Tech. (Thermal Engineering)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",,-,-,-,placement,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,17,,5.0 Lacs INR,,
341,HCL technologies,IT,Software engineer,,Software,A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Computer Science & Engineering', 'Information Technology']",9.75 Lacs INR,-,-,placement,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.25 Lacs INR,,
342,Havells India Limited,,,,Core,B,,"['Advanced Chemical Analysis', 'Chemistry']",-,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.0 Thousands INR,,
343,HCL Technologies,IT,Java Developer,,Software,A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electronics & Communication Engineering']","['Computer Science & Engineering', 'Information Technology']",-,5.5,-,placement,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,7.0 Lacs INR,,
