,Name,Sector,Name_of_post,Place of posting,Actual Post,Category,Open_for_UG,Open_for_PG,CTC_PG,CGPA_Requirement,Total_vacancies,PPO or not ,Applied Mathematics,Computer Science,electronic,electrical ,Mechanical,Chemical,Architecture and planning,Process,Biotechnology,Chemistry,Civil ,Geological,Geophysical ,Metallurgical,Physics,Polymer Science,Production and Industrial ,Pulp & Paper,Unnamed: 28,number_of_people,CTC_UG,CTC Remark,CGPA Requirement
0,Visa Inc. (PPO),IT,-,Hyderabad,Software,A,['Computer Science and Engineering'],,-,-,-,PPO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17.99 Lacs INR,Not Mentioned,Not Mentioned
1,D.E. Shaw India Software Private Limited (PPO),IT,-,Hyderabad,Software,A,['Computer Science and Engineering'],,-,-,-,PPO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29.0 Lacs INR,Not Mentioned,Not Mentioned
2,Citicorp Services India Pvt. Ltd. (PPO),Finance,-,Pune,Software,A,"['Electronics & Communication Engineering', 'Mechanical Engineering']",,-,-,-,PPO,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13.5 Lacs INR,,
3,Fuzzy Logix (PPO),Consultancy,-,Bangalore,Data Science,A,"['Electrical Engineering', 'Mechanical Engineering']",,-,-,-,PPO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-,,
4,Texas Instruments (PPO),Core Engineering,-,Bangalore,Core,A,"['B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering']",['Computer Science & Engineering'],17.4 Lacs INR,-,-,PPO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16.0 Lacs INR,Not Mentioned,Not Mentioned
5,Itron (PPO),IT,-,,Software,A,['Electronics & Communication Engineering'],,-,,-,PPO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.5 Lacs INR,,
6,"Samsung R & D, Bangalore (PPO)",R&D,-,Bangalore,Core,A,"['Computer Science and Engineering', 'Electrical Engineering']",,-,-,-,PPO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,22.0 Thousands INR,,
7,Microsoft (PPO),IT,-,Bangalore,Software,A,['Computer Science and Engineering'],,-,.,-,PPO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,-,,
8,Qualcomm India Private Limited (PPO),Core Engineering,-,Bangalore,Core,A,['Engineering Physics'],,-,-,-,PPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14.3 Lacs INR,,
9,Wipro Limited (PPO),IT,-,Bangalore,Software,A,"['Electrical Engineering', 'Electronics & Communication Engineering', 'Production and Industrial Engineering']",,-,-,-,PPO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,9.0 Lacs INR,,
10,TATA Steel Ltd. (PPO),Core Engineering,-,Jamshedpur,Core,A,"['Electrical Engineering', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Production and Industrial Engineering']",,-,-,-,PPO,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,8,8.33 Lacs INR,Not Mentioned,Not Mentioned
11,Adobe Systems (PPO),R&D,-,Bangalore,Software,A,"['Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",,-,-,-,PPO,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,-,Not Mentioned,Not Mentioned
12,Capital One Services (India) Pvt. Ltd. (PPO),Finance,-,Bangalore,Finance,A,['Electrical Engineering'],,-,-,-,PPO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15.57 Lacs INR,Not Mentioned,Not Mentioned
13,Accenture Services Pvt. Ltd. (PPO),IT,-,Mumbai,Software,A,['Applied Mathematics'],,-,-,-,PPO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,,
14,Amazon Development Centre (India) Pvt. Ltd. (PPO),IT,-,Anywhere In India,Software,A,"['Computer Science and Engineering', 'Electronics & Communication Engineering']",,-,-,-,PPO,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,-,,
15,Schlumberger Asia Services Ltd. (PPO),Oil & Gas,-,,Core,A,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'Chemical Engineering', 'Production and Industrial Engineering']",,-,-,-,PPO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,-,,
16,ITC Ltd. (PPO),FMCG,-,Anywhere In India,Core,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'Chemical Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']",,-,-,-,PPO,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,6,-,Not Mentioned,Not Mentioned
17,"Infosys Ltd.,",IT,-,Bangalore,Software,A,"['Applied Mathematics', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Computer Science & Engineering', 'Information Technology']",-,-,-,placement,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,17.0 Lacs INR,Not Mentioned,Not Mentioned
18,Works Applications Co Ltd,IT,R&D Engineer in Software Development.,Singapore/Japan,Software,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",-,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,6,,6 Million JPY for all branches,Not Mentioned
19,SRF LTD,Core Engineering,Design Trainee/Senior Executive,,Core,A,"['B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'Chemical Engineering']",['Computer Aided Process Plant Design'],6.5 Lacs INR,8.0,-,placement,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.0 Lacs INR,,
20,Vodafone India Ltd. (PPO),IT,-,Delhi NCR & Haryana,Software,A,['Computer Science and Engineering'],,-,-,-,PPO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,,
21,Sjain Ventures Limited (PPO),IT,-,,Software,B,"['Electrical Engineering', 'Electronics & Communication Engineering', 'Mechanical Engineering', 'Metallurgy Dual']",,-,-,-,PPO,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-,,
22,UnitedHealth Group,IT,Software Engineer,Anywhere In India,Software,A,"['Applied Mathematics', 'Biotechnology', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",,-,7.0,-,placement,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,11.98 Lacs INR,Not Mentioned,
23,Test Company,IT,-,,Software,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",-,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,,10.0 Lacs INR,,
24,Fuzzy Logix,IT,Associate Data Scientist,Bangalore,Data Science,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",['Management and Business Administration'],12.0 Lacs INR,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,8,12.0 Lacs INR,12-13 Lacs,Not Mentioned
25,American Express India (PPO),Finance,-,,Analyst,A,"['Applied Mathematics', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)']",,-,-,-,PPO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,-,,
26,Ford,Core Engineering,Ford College Graduate,,Core,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'Electrical Engineering', 'Mechanical Engineering', 'Production and Industrial Engineering']",,11.0 Lacs INR,-,-,placement,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,11.0 Lacs INR,,
27,Goldman Sachs (PPO),Finance,-,Bangalore,Analyst,A,"['Computer Science and Engineering', 'Electrical Engineering']",,-,-,-,PPO,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,-,,
28,Walmart Labs,IT,-,Bangalore,Software,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Building Technology', 'CAD,CAM & Robotics', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Master of Computer Application', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",21.776 Lacs INR,7.0,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,4,21.077 Lacs INR,Not Mentioned,7
29,Hyundai Motor India,Core Engineering,PGET,,Core,B,,"['CAD,CAM & Robotics', 'Machine Design Engineering', 'Production & Industrial Systems Engineering', 'Thermal Engineering', 'Welding Engineering']",6.5 Lacs INR,-,-,placement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-,,
30,Innoplexus: Application Development Engineer,IT,Application Development Engineer,Pune,Software,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",,-,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,,8.0 Lacs INR,,
31,Innoplexus: Associate Consultant,IT,Associate Consultant,Pune,Consultancy,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",,-,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,,15.0 Lacs INR,,
32,Innoplexus: Associate Data Scientist,IT,Associate Data Scientist,Pune,Data Science,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Production and Industrial Engineering']",,-,-,-,placement,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,13,,15.0 Lacs INR,,
33,Innoplexus: Junior Research Analyst,IT,Junior Research Analyst,Pune,Analyst,A,['Biotechnology'],,-,-,-,placement,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,15.0 Lacs INR,,
34,Innoplexus: Software Engineer,IT,Software Developer,Pune,Software,A,"['B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",,-,-,-,placement,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,15.0 Lacs INR,,
35,Exicom,Core Engineering,Engineer,Delhi NCR & Haryana,Core,A,"['B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Electrical Engineering', 'Electronics & Communication Engineering']","['Communication Systems', 'Control & Guidance', 'Electric Drives and Power Electronics', 'Instrumentation and Signal Processing', 'Micro Electronic and VLSI', 'Power System Engineering', 'RF and Microwave Engineering', 'Semiconductor Design and VLSI Technology', 'System and Control', 'System Modelling and Control']",8.0 Lacs INR,-,3,placement,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8.0 Lacs INR,Min of 8LPA. Jump start depends on interview performance.,Not Mentioned
36,Societe General Solutions Software Engineer,IT,Senior Software Engineer,Bangalore,Software,A,"['Applied Mathematics', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering']",,-,-,-,placement,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,17.5 Lacs INR,Not Mentioned,Not Mentioned
37,Google India Workshop,IT,-,Bangalore,Software,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Engineering Physics', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']","['Advanced Chemical Analysis', 'Alternate Hydro Energy Systems', 'Applied Geology', 'Applied Mathematics', 'Architecture and Planning', 'Biotechnology', 'Building Technology', 'CAD,CAM & Robotics', 'Chemistry', 'Communication Systems', 'Computer Aided Process Plant Design', 'Computer Science & Engineering', 'Control & Guidance', 'Corrosion Engineering', 'Disaster Mitigation and Management', 'Electric Drives and Power Electronics', 'Environmental Engineering', 'Environmental Management of Rivers and Lakes', 'Geological Technology', 'Geomatics Engineering', 'Geophysical Technology', 'Geophysical Technology', 'Geotechnical Engineering', 'Ground Water Hydrology', 'Hydraulics Engineering', 'Hydroelectric System Engineering and Management', 'Hydrology', 'Hydrology', 'Industrial Metallurgy', 'Industrial Pollution Abatement', 'Industrial Safety and Hazards Management', 'Information Technology', 'Infrastructure Systems', 'Instrumentation and Signal Processing', 'Irrigation Water Management', 'M.sc Industrial Mathematics and Informatics', 'M.Sc. Economics', 'M.Sc. Mathematics', 'M.Tech. Bioprocess Engineering', 'Machine Design Engineering', 'Management and Business Administration', 'Master of Computer Application', 'Master of Urban and Rural Planning', 'Materials Engineering', 'Micro Electronic and VLSI', 'Nanotechnology', 'Packaging Technology', 'Physics', 'Power System Engineering', 'Production & Industrial Systems Engineering', 'Pulp & Paper Engineering', 'RF and Microwave Engineering', 'Seismic Vulnerability & Risk Assessment', 'Semiconductor Design and VLSI Technology', 'Soil Dynamics', 'Solid State Electronic Materials', 'Structural Dynamics', 'Structural Engineering', 'Surface Water Hydrology', 'System and Control', 'System Modelling and Control', 'Thermal Engineering', 'Thermal Systems Engineering', 'Transportation Engineering', 'Water Resources Development', 'Water Resources Development', 'Watershed Management', 'Welding Engineering']",-,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,,-,,
38,EXL Service Pvt. Ltd.,IT,Consultant I,Delhi NCR & Haryana,Analyst,A,"['Applied Mathematics', 'Architecture and Planning', 'B. Tech. (Chemical Engineering) and M. Tech. (Hydrocarbon Engineering)', 'B. Tech. (Computer Science & Engineering) and M. Tech. (Information Technology)', 'B. Tech. (Electrical Engineering) and M.Tech. (Power Electronics)', 'B. Tech. (Electronics & Communication Engineering) and M. Tech. (Wireless Communication)', 'B. Tech. (Process Engineering) and M.B.A.', 'B.Tech. (Chemical Engineering) with M.Tech. (Computer Aided Process Plant Design)', 'Biotechnology', 'Chemical Engineering', 'Chemistry', 'Civil Engineering', 'Civil Engineering with specialisation in Structures', 'Civil Engineering with specialisation in Structures', 'Computer Science and Engineering', 'Electrical Engineering', 'Electronics & Communication Engineering', 'Geological Technology', 'Geophysical Technology', 'Mechanical Engineering', 'Metallurgical & Materials Engineering', 'Metallurgy Dual', 'Physics', 'Polymer Science and Technology', 'Polymer Science and Technology', 'Production and Industrial Engineering', 'Pulp & Paper Technology']",,11.2 Thousands INR,-,-,placement,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,15,11.2 Lacs INR,8.5 in hand,Not Mentioned
