,degree,branch,placed,company
0,M.Tech.,Structural Engineering,1,B & S Engineering Consultants Pvt. Ltd.
1,M.Tech.,Structural Engineering,1,Larsen & Toubro Ltd.
2,M.Tech.,Structural Engineering,1,BRIDGECON INFRA CONSULTANT
3,M.Tech.,Structural Engineering,1,Dar Al-Handasah Consultants (Shairs & Partners) India Pvt. Ltd. - Structural Engineer
4,M.Tech.,Structural Engineering,1,ASC Infratech
5,M.Tech.,Structural Engineering,2,L&T Construction
6,M.Tech.,Structural Engineering,1,Shimizu Corporation( Planning Engineer)
7,M.Tech.,Structural Engineering,1,Feedback Infra Pvt. Ltd
