,degree,branch,placed,company
0,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Ford
1,IDD,B. Tech. (Process Engineering) and M.B.A.,3,Oxane Partners
2,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Virtusa Consulting Services
3,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Vignan's Foundation for Science Technology and Research
4,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Codalyze Technologies Pvt. Ltd.
5,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Wipro
6,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Axtria India Pvt. Ltd
7,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Futures First info services Pvt Ltd
8,IDD,B. Tech. (Process Engineering) and M.B.A.,1,Treebo BA
