,degree,branch,placed,company
0,MSc,M.Sc. Mathematics,1,TCS-BPS
1,MSc,M.Sc. Mathematics,1,Piramal Foundation for Education Leadership
2,MSc,M.Sc. Mathematics,2,Vignan's Foundation for Science Technology and Research
