,degree,branch,placed,company
0,IMSc,Applied Mathematics,3,Adobe Systems (PPO)
1,IMSc,Applied Mathematics,1,American Express India (PPO)
2,IMSc,Applied Mathematics,1,Goldman Sachs
3,IMSc,Applied Mathematics,1,TCY Learning Solutions P Ltd
4,IMSc,Applied Mathematics,1,Vizury Interactive Solutions
5,IMSc,Applied Mathematics,1,Cognizant technology solutions(Software)
6,IMSc,Applied Mathematics,3,TCS-BPS
7,IMSc,Applied Mathematics,1,Piramal Foundation for Education Leadership
8,IMSc,Applied Mathematics,1,Accenture Services Pvt. Ltd. (PPO)
