,degree,branch,placed,company
0,M.Tech.,Packaging Technology,1,AFFLATUS GRAVURES PVT. LTD.
1,M.Tech.,Packaging Technology,2,Kanodia Technoplast Limited
2,M.Tech.,Packaging Technology,2,Huhtamaki PPL (for M.tech)
3,M.Tech.,Packaging Technology,1,Uflex Chemicals
4,M.Tech.,Packaging Technology,1,Essel Propack
