,degree,branch,placed,company
0,IDD,Civil Engineering with specialisation in Structures,1,Shimizu Corporation( Planning Engineer)
1,IDD,Civil Engineering with specialisation in Structures,2,Larsen & Toubro Ltd.
2,IDD,Civil Engineering with specialisation in Structures,1,Capgemini (Final)
3,IDD,Civil Engineering with specialisation in Structures,1,CitiGroup
4,IDD,Civil Engineering with specialisation in Structures,1,Shapoorji Pallonji
